Chunk,Frame,PSNR (dB),SSIM
46,920,34.2828,0.932791
46,921,33.6905,0.926866
46,922,32.1459,0.910523
46,923,34.9994,0.946396
46,924,34.1036,0.940564
46,925,34.1451,0.939178
46,926,34.1903,0.939422
46,927,34.049,0.937881
46,928,34.0981,0.93739
46,929,33.8721,0.934494
46,930,33.8416,0.935465
46,931,34.1878,0.937712
46,932,34.149,0.936973
46,933,34.2834,0.93759
46,934,33.8589,0.936127
46,935,34.3346,0.939213
46,936,34.0858,0.937172
46,937,34.309,0.937617
46,938,34.0334,0.936597
46,939,34.4239,0.939234
46,940,34.0911,0.936716
46,941,34.3016,0.937112
46,942,34.1345,0.936978
46,943,34.4428,0.939052
46,944,34.4649,0.93909
46,945,34.3857,0.93762
46,946,34.4668,0.939139
46,947,34.4154,0.938464
46,948,34.4276,0.938669
46,949,34.2728,0.936403
46,950,34.2828,0.93728
46,951,34.3244,0.937317
46,952,35.5805,0.949326
46,953,34.9471,0.945432
46,954,35.1821,0.946675
46,955,35.181,0.946405
46,956,35.0535,0.945772
46,957,34.97,0.944363
46,958,34.9592,0.944482
46,959,34.9934,0.94464
46,960,35.7643,0.951128
46,961,35.3005,0.948437
46,962,35.6857,0.950841
46,963,35.4381,0.949555
46,964,35.711,0.951011
46,965,35.51,0.949416
46,966,35.7148,0.950889
46,967,35.7549,0.951169
46,968,35.654,0.950576
46,969,36.3319,0.955602
46,970,36.0575,0.954443
46,971,36.3187,0.955674
46,972,36.3252,0.955742
46,973,36.7741,0.958856
46,974,36.5808,0.958043
46,975,36.7739,0.95886
47,976,40.1808,0.976788
47,977,37.1659,0.966278
47,978,36.5868,0.961549
47,979,36.5216,0.96111
47,980,36.2398,0.958714
47,981,35.7943,0.956162
47,982,36.1088,0.956962
47,983,36.2354,0.957456
47,984,36.0895,0.957079
47,985,36.1175,0.956417
47,986,36.2778,0.956487
47,987,36.4146,0.956369
47,988,36.0775,0.954944
47,989,36.2959,0.954769
47,990,36.339,0.954578
47,991,36.1505,0.954083
